date,BTC_price,ETH_price,BNB_price
2019-02-04,3459.154052734375,107.82160186767578,7.100500106811523
2019-02-05,3466.357421875,107.44351959228516,7.819809913635254
2019-02-06,3413.767822265625,104.9192886352539,8.086174011230469
2019-02-07,3399.4716796875,104.5353012084961,7.730325222015381
2019-02-08,3666.7802734375,119.26774597167969,8.575567245483398
2019-02-09,3671.20361328125,119.4308853149414,8.871356964111328
2019-02-10,3690.188232421875,124.80648803710938,9.211540222167969
2019-02-11,3648.4306640625,121.29839324951172,9.551809310913086
2019-02-12,3653.528564453125,122.5722885131836,9.341780662536621
2019-02-13,3632.070556640625,122.55360412597656,8.941073417663574
2019-02-14,3616.880859375,121.39020538330078,8.782048225402832
2019-02-15,3620.810791015625,122.10038757324219,9.273832321166992
2019-02-16,3629.78759765625,123.26021575927734,9.129250526428223
2019-02-17,3673.836181640625,133.598876953125,9.216046333312988
2019-02-18,3915.71435546875,146.09837341308594,9.634435653686523
2019-02-19,3947.094482421875,145.34619140625,10.563077926635742
2019-02-20,3999.820556640625,149.55433654785156,10.966055870056152
2019-02-21,3954.1181640625,146.13084411621094,10.492892265319824
2019-02-22,4005.526611328125,149.0924530029297,10.837115287780762
2019-02-23,4142.52685546875,158.79542541503906,10.781801223754883
2019-02-24,3810.427490234375,135.8526611328125,10.113093376159668
2019-02-25,3882.6962890625,139.82286071777344,9.842012405395508
2019-02-26,3854.35791015625,138.0896759033203,9.521595001220703
2019-02-27,3851.04736328125,136.12596130371094,9.899131774902344
2019-02-28,3854.785400390625,136.74624633789062,10.365178108215332
2019-03-01,3859.583740234375,136.44361877441406,11.393217086791992
2019-03-02,3864.4150390625,134.2069549560547,11.869744300842285
2019-03-03,3847.17578125,132.24942016601562,11.53790283203125
2019-03-04,3761.55712890625,127.77412414550781,11.545945167541504
2019-03-05,3896.375,137.8223876953125,13.811966896057129
2019-03-06,3903.942626953125,138.7893524169922,14.517946243286133
2019-03-07,3911.484375,138.0345001220703,15.145886421203613
2019-03-08,3901.131591796875,135.1270751953125,14.366935729980469
2019-03-09,3963.313720703125,137.96533203125,14.565878868103027
2019-03-10,3951.599853515625,136.75868225097656,14.494439125061035
2019-03-11,3905.227294921875,133.8340301513672,14.514413833618164
2019-03-12,3909.15625,134.44288635253906,15.40613079071045
2019-03-13,3906.71728515625,133.26307678222656,15.115123748779297
2019-03-14,3924.369140625,133.7115936279297,15.051103591918945
2019-03-15,3960.9111328125,137.69178771972656,15.077101707458496
2019-03-16,4048.725830078125,142.39817810058594,16.11901092529297
2019-03-17,4025.22900390625,140.00054931640625,15.76114559173584
2019-03-18,4032.50732421875,139.37460327148438,15.682011604309082
2019-03-19,4071.190185546875,140.51919555664062,15.693594932556152
2019-03-20,4087.476318359375,140.6863555908203,15.280022621154785
2019-03-21,4029.326904296875,136.6360626220703,14.517393112182617
2019-03-22,4023.96826171875,137.1814422607422,15.266424179077148
2019-03-23,4035.826416015625,138.2398681640625,15.235995292663574
2019-03-24,4022.168212890625,136.98692321777344,17.285356521606445
2019-03-25,3963.070556640625,135.03102111816406,16.841007232666016
